course_name,category,level,description,curriculum,intakes,duration,career_prospect,estimated_course_fees,entry_requirements
Doctor of Philosophy (PhD) in Environmental Science,"Environmental Science, Research",Postgraduate (PhD),"A research-focused program addressing environmental issues, climate change, and sustainability. Students will conduct original research and contribute to the field of environmental science.","The program includes Advanced Environmental Research Methods, Climate Change Science, and Sustainable Development. Students will complete a dissertation based on original research.","March, September",3-5 years,"Environmental Scientist, Research Scientist, Policy Advisor, Academic Researcher","RM60,000 for Malaysian students and USD14,000 for international students.","A Master's Degree (Level 7 MQF) or its equivalent, with a minimum CGPA of 3.50; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.70, subject to rigorous internal assessment."
Diploma in Mechanical Engineering,"Engineering, Mechanical Engineering",Diploma,"This diploma covers the fundamentals of mechanical engineering, including mechanics, thermodynamics, and machine design. Students will gain practical skills through lab work and projects.","The program includes Engineering Mechanics, Materials Science, Thermodynamics, and Machine Design. Students will complete a capstone project in their final year.","January, April",2 years,"Mechanical Engineer, Design Engineer, Project Manager, Maintenance Engineer","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics and Physics; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Medicine and Bachelor of Surgery (MBBS),"Health Sciences, Medicine",Undergraduate (Degree),"A comprehensive medical program preparing students for a career in medicine and surgery. Students will gain clinical experience through rotations in various medical fields.","The curriculum includes Human Anatomy, Biochemistry, Pathology, and Internal Medicine. Students will complete clinical rotations in hospitals.","January, September",5-6 years,"Medical Doctor, Surgeon, Medical Researcher, Healthcare Administrator","RM150,000 for Malaysian students and USD35,000 for international students.","STPM: Average B or GP 3.00 (minimum 2 Principals); A-Level: Minimum 14 points (Minimum Grade B in at least 2 subjects); Australian Matriculation: ATAR 80; Canadian Matriculation: 80%; Monash University Foundation Year: 80%; Sunway Foundation in Arts: CGPA 3.5; Sunway Foundation in Science Technology: CGPA 3.5; UEC: Pass with minimum 3 Grade As; SPM/SPMV/O-Level: Pass with minimum 5 credits including Biology, Chemistry, and Physics."
Master of Business Administration (MBA),"Business, Management",Postgraduate (Master's),"An advanced business program focusing on strategic management, finance, and marketing. Students will develop leadership skills through case studies and real-world projects.","The curriculum includes Strategic Management, Financial Management, Marketing Strategy, and Leadership. Students will complete a capstone project or thesis.","January, September",1-2 years,"CEO, Business Consultant, Financial Manager, Entrepreneur","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Culinary Arts,"Hospitality, Culinary Arts",Diploma,"This diploma provides training in culinary techniques, food safety, and menu planning. Students will gain hands-on experience through kitchen labs and internships.","The program includes Culinary Fundamentals, Food Safety, Baking Techniques, and Menu Planning. Students will complete an internship in a professional kitchen.","January, April",2 years,"Chef, Food Stylist, Catering Manager, Restaurant Owner","RM26,000 for Malaysian students and USD6,200 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Actuarial Science (Honours),"Mathematics, Actuarial Science",Undergraduate (Degree),"This program focuses on risk assessment, financial mathematics, and insurance principles. Students will develop analytical and problem-solving skills through case studies and projects.","The curriculum includes Probability and Statistics, Financial Mathematics, Actuarial Mathematics, and Risk Theory. Students will complete a capstone project.","January, September",3 years,"Actuary, Risk Analyst, Financial Planner, Insurance Underwriter","RM39,000 for Malaysian students and USD9,200 for international students.","STPM: Average B- or GP 2.75 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 70; Canadian Matriculation: 70%; Monash University Foundation Year: 70%; Sunway Foundation in Arts: CGPA 2.75; Sunway Foundation in Science Technology: CGPA 2.75; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics."
Master of Actuarial Science,"Mathematics, Actuarial Science",Postgraduate (Master's),"Advanced studies in actuarial science, including stochastic modeling and financial economics. This program prepares students for specialized roles in risk management and financial analysis.","The curriculum includes Advanced Actuarial Techniques, Stochastic Modeling, Financial Economics, and Risk Management. Students will complete a research thesis.","February, July",1 year,"Senior Actuary, Risk Manager, Financial Economist, Insurance Analyst","RM48,000 for Malaysian students and USD11,500 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Actuarial Studies,"Mathematics, Actuarial Science",Diploma,"This diploma introduces students to actuarial science, including probability, risk management, and insurance mathematics. Students will gain practical skills through case studies and projects.","The program includes Introduction to Actuarial Science, Basic Probability, Risk Management, and Insurance Mathematics. Students will complete a capstone project.","January, April",2 years,"Actuarial Analyst, Insurance Underwriter, Risk Consultant, Financial Analyst","RM27,000 for Malaysian students and USD6,300 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Biotechnology,"Science, Biotechnology",Undergraduate (Degree),"This program focuses on the application of biological systems in technology and industry. Students will learn about genetic engineering, bioinformatics, and bioprocessing.","The curriculum includes Molecular Biology, Genetic Engineering, Bioinformatics, and Bioprocessing. Students will complete a research project in their final year.","January, September",3 years,"Biotechnologist, Research Scientist, Pharmaceutical Developer, Bioinformatics Specialist","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Biology and Chemistry."
Master of Science in Biotechnology,"Science, Biotechnology",Postgraduate (Master's),"This program provides advanced knowledge in biotechnology, focusing on research and development in areas such as genetic engineering, pharmaceuticals, and environmental biotechnology.","The curriculum includes Advanced Genetic Engineering, Pharmaceutical Biotechnology, Environmental Biotechnology, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Biotechnology Researcher, Pharmaceutical Scientist, Environmental Biotechnologist, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Bachelor of Laws (LLB),"Law",Undergraduate (Degree),"This program provides a comprehensive understanding of legal principles, practices, and systems. Students will develop critical thinking and analytical skills through case studies and moot courts.","The curriculum includes Constitutional Law, Criminal Law, Contract Law, and Legal Research. Students will participate in moot court sessions and internships.","January, September",3 years,"Lawyer, Legal Advisor, Corporate Counsel, Judge","RM45,000 for Malaysian students and USD10,500 for international students.","STPM: Average B- or GP 2.75 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 70; Canadian Matriculation: 70%; Monash University Foundation Year: 70%; Sunway Foundation in Arts: CGPA 2.75; Sunway Foundation in Science Technology: CGPA 2.75; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits."
Master of Laws (LLM),"Law",Postgraduate (Master's),"This program offers advanced legal studies, focusing on specialized areas such as international law, corporate law, and human rights law. Students will complete a research thesis.","The curriculum includes International Law, Corporate Law, Human Rights Law, and Legal Research Methods. Students will complete a research thesis.","February, July",1 year,"Legal Consultant, Corporate Lawyer, Human Rights Advocate, Academic Researcher","RM50,000 for Malaysian students and USD12,000 for international students.","A Bachelor's Degree in Law (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree in Law (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree in Law (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Bachelor of Education (Hons) in Early Childhood Education,"Education, Early Childhood",Undergraduate (Degree),"This program prepares students to become educators in early childhood settings. Students will learn about child development, curriculum design, and teaching methodologies.","The curriculum includes Child Development, Early Childhood Curriculum, Teaching Methodologies, and Classroom Management. Students will complete teaching practicums.","January, September",3 years,"Early Childhood Educator, Preschool Teacher, Curriculum Developer, Education Consultant","RM35,000 for Malaysian students and USD8,200 for international students.","STPM: Average C or GP 2.00 (minimum 2 Principals); A-Level: Minimum 10 points (Minimum Grade D in at least 2 subjects); Australian Matriculation: ATAR 60; Canadian Matriculation: 60%; Monash University Foundation Year: 60%; Sunway Foundation in Arts: CGPA 2.0; Sunway Foundation in Science Technology: CGPA 2.0; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits."
Master of Education (MEd),"Education",Postgraduate (Master's),"This program provides advanced knowledge in education, focusing on areas such as curriculum development, educational leadership, and teaching methodologies. Students will complete a research thesis.","The curriculum includes Curriculum Development, Educational Leadership, Teaching Methodologies, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Education Consultant, Curriculum Developer, School Administrator, Academic Researcher","RM48,000 for Malaysian students and USD11,500 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Early Childhood Education,"Education, Early Childhood",Diploma,"This diploma provides foundational knowledge in early childhood education, focusing on child development and teaching methodologies. Students will gain practical experience through teaching practicums.","The program includes Child Development, Early Childhood Curriculum, Teaching Methodologies, and Classroom Management. Students will complete teaching practicums.","January, April",2 years,"Preschool Teacher, Early Childhood Educator, Childcare Worker, Education Assistant","RM25,000 for Malaysian students and USD6,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Fine Arts (Hons) in Graphic Design,"Art, Design",Undergraduate (Degree),"This program focuses on the principles of graphic design, including typography, branding, and digital media. Students will develop a professional portfolio through studio work and projects.","The curriculum includes Typography, Branding, Digital Media, and Design Theory. Students will complete a portfolio project in their final year.","January, September",3 years,"Graphic Designer, Branding Specialist, Digital Media Designer, Art Director","RM38,000 for Malaysian students and USD9,000 for international students.","STPM: Average C or GP 2.00 (minimum 2 Principals); A-Level: Minimum 10 points (Minimum Grade D in at least 2 subjects); Australian Matriculation: ATAR 60; Canadian Matriculation: 60%; Monash University Foundation Year: 60%; Sunway Foundation in Arts: CGPA 2.0; Sunway Foundation in Science Technology: CGPA 2.0; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits."
Master of Fine Arts (MFA) in Graphic Design,"Art, Design",Postgraduate (Master's),"This program offers advanced studies in graphic design, focusing on creative research and professional practice. Students will complete a thesis project.","The curriculum includes Advanced Design Theory, Creative Research, Professional Practice, and Thesis Development. Students will complete a thesis project.","February, July",1 year,"Senior Graphic Designer, Creative Director, Design Researcher, Academic Researcher","RM50,000 for Malaysian students and USD12,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Graphic Design,"Art, Design",Diploma,"This diploma provides foundational knowledge in graphic design, including typography, branding, and digital media. Students will develop a portfolio through studio work and projects.","The program includes Typography, Branding, Digital Media, and Design Fundamentals. Students will complete a portfolio project in their final year.","January, April",2 years,"Graphic Designer, Branding Specialist, Digital Media Designer, Design Assistant","RM28,000 for Malaysian students and USD6,500 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Environmental Science,"Science, Environmental Science",Undergraduate (Degree),"This program focuses on the study of environmental systems, sustainability, and conservation. Students will gain practical experience through fieldwork and research projects.","The curriculum includes Environmental Systems, Sustainability, Conservation Biology, and Environmental Policy. Students will complete a research project in their final year.","January, September",3 years,"Environmental Scientist, Conservationist, Sustainability Consultant, Policy Advisor","RM40,000 for Malaysian students and USD9,500 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Biology."
Master of Science in Environmental Science,"Science, Environmental Science",Postgraduate (Master's),"This program provides advanced knowledge in environmental science, focusing on research and development in areas such as climate change, sustainability, and conservation. Students will complete a research thesis.","The curriculum includes Climate Change Science, Sustainability, Conservation Biology, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Environmental Scientist, Research Scientist, Sustainability Consultant, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Environmental Science,"Science, Environmental Science",Diploma,"This diploma provides foundational knowledge in environmental science, focusing on environmental systems, sustainability, and conservation. Students will gain practical experience through fieldwork.","The program includes Environmental Systems, Sustainability, Conservation Biology, and Environmental Policy. Students will complete a fieldwork project in their final year.","January, April",2 years,"Environmental Technician, Conservation Assistant, Sustainability Consultant, Research Assistant","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Biology; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Food Science,"Science, Food Science",Undergraduate (Degree),"This program focuses on the science behind food production, safety, and nutrition. Students will gain practical experience through lab work and research projects.","The curriculum includes Food Chemistry, Food Safety, Nutrition, and Food Processing. Students will complete a research project in their final year.","January, September",3 years,"Food Scientist, Nutritionist, Quality Assurance Specialist, Food Technologist","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Chemistry."
Master of Science in Food Science,"Science, Food Science",Postgraduate (Master's),"This program provides advanced knowledge in food science, focusing on research and development in areas such as food safety, nutrition, and food processing. Students will complete a research thesis.","The curriculum includes Advanced Food Chemistry, Food Safety, Nutrition, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Food Scientist, Research Scientist, Nutritionist, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Food Science,"Science, Food Science",Diploma,"This diploma provides foundational knowledge in food science, focusing on food production, safety, and nutrition. Students will gain practical experience through lab work.","The program includes Food Chemistry, Food Safety, Nutrition, and Food Processing. Students will complete a lab project in their final year.","January, April",2 years,"Food Technician, Quality Assurance Assistant, Nutrition Assistant, Research Assistant","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Chemistry; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Chemistry,"Science, Chemistry",Undergraduate (Degree),"This program focuses on the study of chemical principles, reactions, and applications. Students will gain practical experience through lab work and research projects.","The curriculum includes Organic Chemistry, Inorganic Chemistry, Physical Chemistry, and Analytical Chemistry. Students will complete a research project in their final year.","January, September",3 years,"Chemist, Research Scientist, Quality Control Specialist, Pharmaceutical Scientist","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Chemistry."
Master of Science in Chemistry,"Science, Chemistry",Postgraduate (Master's),"This program provides advanced knowledge in chemistry, focusing on research and development in areas such as organic chemistry, inorganic chemistry, and analytical chemistry. Students will complete a research thesis.","The curriculum includes Advanced Organic Chemistry, Inorganic Chemistry, Analytical Chemistry, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Chemist, Research Scientist, Quality Control Specialist, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Chemistry,"Science, Chemistry",Diploma,"This diploma provides foundational knowledge in chemistry, focusing on chemical principles and reactions. Students will gain practical experience through lab work.","The program includes Organic Chemistry, Inorganic Chemistry, Physical Chemistry, and Analytical Chemistry. Students will complete a lab project in their final year.","January, April",2 years,"Laboratory Technician, Quality Control Assistant, Research Assistant, Chemical Technician","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Chemistry; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Physics,"Science, Physics",Undergraduate (Degree),"This program focuses on the study of physical principles, including mechanics, thermodynamics, and quantum physics. Students will gain practical experience through lab work and research projects.","The curriculum includes Mechanics, Thermodynamics, Quantum Physics, and Electromagnetism. Students will complete a research project in their final year.","January, September",3 years,"Physicist, Research Scientist, Data Analyst, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Physics."
